Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1967|12|1|0.0|14.0|31.6|22.8|17.6||2
1968|1|1|0.0|16.6|26.0|21.3|9.4||2
1968|2|1|0.0|15.0|28.3|21.65|13.3||2
1968|3|1|0.0|16.4|28.3|22.35|11.9||3
1968|4|1|0.0|11.2|20.6|15.9|9.4||3
1968|5|1|6.4|7.8|14.4|11.1|6.6||3
1968|6|1|4.3|6.6|17.7|12.15|11.1||4
1968|7|1|10.4|7.3|17.2|12.25|9.9||4
1968|8|1|1.3|9.1|17.3|13.2|8.2||4
1968|9|1|4.8|8.3|15.8|12.05|7.5||1
1968|10|1|0.0|5.1|19.4|12.25|14.3||1
1968|11|1|0.0|3.6|20.4|12.0|16.8||1
1968|12|1|0.0|18.1|28.4|23.25|10.3||2
1969|2|1|0.0|18.3|39.4|28.85|21.1||2
1969|3|1|0.0|12.2|30.7|21.45|18.5||3
1969|5|1|0.0|12.8|22.4|17.6|9.6||3
1969|6|1|0.0|7.2|19.4|13.3|12.2||4
1969|7|1|0.0|8.5|20.2|14.35|11.7||4
1969|8|1|4.8|12.4|20.4|16.4|8.0||4
1969|9|1|9.1|8.8|15.2|12.0|6.4||1
1969|10|1|0.0|7.8|20.6|14.2|12.8||1
1969|11|1|0.0|11.0|22.2|16.6|11.2||1
1969|12|1|0.0|13.1|25.6|19.35|12.5||2
1970|3|1|0.3|17.2|27.1|22.15|9.9||3
1970|4|1|0.0|14.1|24.7|19.4|10.6||3
1970|5|1|3.0|8.8|17.6|13.2|8.8||3
1970|6|1|24.6|11.7|18.9|15.3|7.2||4
1970|7|1|1.8|9.4|17.8|13.6|8.4||4
1970|8|1|9.4|7.0|15.0|11.0|8.0||4
1970|9|1|0.0|7.9|20.1|14.0|12.2||1
1970|10|1|0.0|10.2|19.3|14.75|9.1||1
1970|11|1|0.0|12.9|27.6|20.25|14.7||1
1970|12|1|0.0|15.4|32.9|24.15|17.5||2
1971|1|1|1.3|19.0|23.9|21.45|4.9||2
1971|3|1|0.0|17.4|33.2|25.3|15.8||3
1971|4|1|0.0|16.8|29.7|23.25|12.9||3
1971|5|1|0.0|6.8|18.6|12.7|11.8||3
1971|6|1|0.0|4.6|17.2|10.9|12.6||4
1971|7|1|0.5|8.6|18.9|13.75|10.3||4
1971|8|1|3.3|9.8|18.9|14.35|9.1||4
1971|9|1|0.0|8.7|18.8|13.75|10.1||1
1971|10|1|2.3|14.8|19.3|17.05|4.5||1
1971|11|1|0.0|8.7|21.0|14.85|12.3||1
1971|12|1|0.0|9.4|26.1|17.75|16.7||2
1972|1|1|0.0|17.4|38.8|28.1|21.4||2
1972|2|1|0.0|17.4|31.8|24.6|14.4||2
1972|3|1|0.0|18.9|28.9|23.9|10.0||3
1972|4|1|0.0|10.8|37.2|24.0|26.4||3
1972|5|1|0.0|7.3|25.6|16.45|18.3||3
1972|6|1|15.7|5.6|19.0|12.3|13.4||4
1972|7|1|0.3|6.2|17.9|12.05|11.7||4
1972|8|1|0.0|4.7|16.0|10.35|11.3||4
1972|9|1|0.5|10.4|19.8|15.1|9.4||1
1972|10|1|4.1|10.4|18.6|14.5|8.2||1
1972|11|1|0.0|15.0|23.3|19.15|8.3||1
1972|12|1|0.0|16.1|29.0|22.55|12.9||2
1973|1|1|0.0|15.0|27.8|21.4|12.8||2
1973|2|1|0.0|13.3|31.2|22.25|17.9||2
1973|3|1|0.0|13.8|28.7|21.25|14.9||3
1973|4|1|0.0|10.3|23.6|16.95|13.3||3
1973|5|1|0.0|13.1|26.7|19.9|13.6||3
1973|6|1|4.3|7.5|16.8|12.15|9.3||4
1973|7|1|0.8|11.2|18.3|14.75|7.1||4
1973|8|1|0.0|10.6|18.2|14.4|7.6||4
1973|9|1|5.8|8.7|18.1|13.4|9.4||1
1973|10|1|0.0|5.4|21.9|13.65|16.5||1
1973|11|1|1.5|11.7|19.5|15.6|7.8||1
1973|12|1|0.0|6.3|21.3|13.8|15.0||2
1974|1|1|0.0|17.5|38.7|28.1|21.2||2
1974|2|1|0.0|16.3|34.7|25.5|18.4||2
1974|3|1|0.0|16.6|26.8|21.7|10.2||3
1974|4|1|0.0|14.9|27.6|21.25|12.7||3
1974|5|1|0.0|11.1|23.5|17.3|12.4||3
1974|6|1|17.2|15.0|20.4|17.7|5.4||4
1974|7|1|0.6|9.6|16.8|13.2|7.2||4
1974|8|1|26.0|11.0|16.7|13.85|5.7||4
1974|9|1|0.6|13.0|18.6|15.8|5.6||1
1974|10|1|0.0|9.0|23.8|16.4|14.8||1
1974|11|1|0.0|7.1|28.4|17.75|21.3||1
1974|12|1|0.0|16.3|25.7|21.0|9.4||2
1975|1|1|0.0|14.6|25.8|20.2|11.2||2
1975|3|1|0.0|14.6|27.6|21.1|13.0||3
1975|4|1|2.6|14.2|18.0|16.1|3.8||3
1975|5|1|0.0|12.2|25.2|18.7|13.0||3
1975|6|1|28.0|12.8|19.7|16.25|6.9||4
1975|7|1|0.4|7.6|20.1|13.85|12.5||4
1975|8|1|0.0|1.7|15.5|8.6|13.8||4
1975|9|1|0.0|8.3|17.7|13.0|9.4||1
1975|10|1|0.0|10.0|23.3|16.65|13.3||1
1975|11|1|0.0|14.3|22.4|18.35|8.1||1
1975|12|1|0.0|14.0|24.0|19.0|10.0||2
1976|2|1|0.0|17.0|35.5|26.25|18.5||2
1976|3|1|0.0|16.4|28.9|22.65|12.5||3
1976|4|1|0.2|10.8|23.8|17.3|13.0||3
1976|5|1|0.2|15.5|23.3|19.4|7.8||3
1976|6|1|1.2|1.5|15.8|8.65|14.3||4
1976|7|1|9.0|11.0|20.0|15.5|9.0||4
1976|8|1|0.0|7.5|18.0|12.75|10.5||4
1976|10|1|0.0|7.0|21.1|14.05|14.1||1
1976|11|1|0.0|5.2|22.2|13.7|17.0||1
1976|12|1|0.0|9.3|25.1|17.2|15.8||2
1977|1|1|0.0|12.5|35.3|23.9|22.8||2
1977|2|1|0.0|19.2|37.8|28.5|18.6||2
1977|4|1|0.0|11.4|27.5|19.45|16.1||3
1977|5|1|1.8|16.2|20.2|18.2|4.0||3
1977|6|1|0.0|10.5|24.2|17.35|13.7||4
1977|7|1|0.2|10.5|18.7|14.6|8.2||4
1977|8|1|5.2|13.0|19.6|16.3|6.6||4
1977|9|1|0.0|7.9|17.8|12.85|9.9||1
1977|10|1|14.4|9.1|19.4|14.25|10.3||1
1977|11|1|0.0|7.9|21.3|14.6|13.4||1
1977|12|1|0.0|10.1|23.6|16.85|13.5||2
1978|1|1|0.0|16.7|26.4|21.55|9.7||2
1978|4|1|0.0|17.0|33.7|25.35|16.7||3
1978|5|1|0.6|13.6|24.5|19.05|10.9||3
1978|6|1|0.0|13.2|21.6|17.4|8.4||4
1978|7|1|0.0|3.7|17.1|10.4|13.4||4
1978|8|1|0.0|6.9|17.3|12.1|10.4||4
1978|9|1|0.0|10.7|20.9|15.8|10.2||1
1978|10|1|34.8|13.0|17.0|15.0|4.0||1
1978|11|1|0.0|18.2|33.7|25.95|15.5||1
1978|12|1|0.0|9.2|23.8|16.5|14.6||2
1979|1|1|0.0|16.3|33.3|24.8|17.0||2
1979|2|1|0.0|19.5|26.6|23.05|7.1||2
1979|3|1|0.0|16.8|33.1|24.95|16.3||3
1979|4|1|0.0|11.5|24.4|17.95|12.9||3
1979|5|1|0.8|10.0|19.5|14.75|9.5||3
1979|6|1|0.0|10.0|20.9|15.45|10.9||4
1979|7|1|0.0|3.8|16.2|10.0|12.4||4
1979|8|1|0.0|5.5|16.4|10.95|10.9||4
1979|9|1|0.0|7.1|19.0|13.05|11.9||1
1979|10|1|0.0|8.4|20.6|14.5|12.2||1
1979|11|1|0.0|14.0|29.0|21.5|15.0||1
1980|2|1|0.0|16.6|32.9|24.75|16.3||2
1980|3|1|0.0|17.5|31.7|24.6|14.2||3
1980|4|1|0.0|13.4|26.0|19.7|12.6||3
1980|5|1|0.0|9.8|29.6|19.7|19.8||3
1980|6|1|2.2|13.8|21.3|17.55|7.5||4
1980|7|1|1.0|9.2|16.4|12.8|7.2||4
1980|8|1|7.2|8.9|17.5|13.2|8.6||4
1980|9|1|1.4|8.7|19.2|13.95|10.5||1
1980|10|1|0.0|15.3|18.6|16.95|3.3||1
1980|11|1|0.2|14.7|31.9|23.3|17.2||1
1980|12|1|0.0|9.6|23.1|16.35|13.5||2
1981|1|1|0.0|14.5|29.7|22.1|15.2||2
1981|2|1|0.0|19.4|34.4|26.9|15.0||2
1981|3|1|0.0|13.8|29.4|21.6|15.6||3
1981|4|1|0.0|9.6|24.6|17.1|15.0||3
1981|5|1|0.2|11.6|22.6|17.1|11.0||3
1981|6|1|0.0|8.4|19.7|14.05|11.3||4
1981|8|1|23.6|12.0|16.0|14.0|4.0||4
1981|9|1|0.0|8.5|24.5|16.5|16.0||1
1981|10|1|14.0|12.8|17.0|14.9|4.2||1
1981|11|1|2.2|16.6|21.2|18.9|4.6||1
1981|12|1|6.4|14.6|22.6|18.6|8.0||2
1982|1|1|0.0|12.6|28.7|20.65|16.1||2
1982|2|1|0.0|18.3|40.6|29.45|22.3||2
1982|3|1|0.0|17.1|32.8|24.95|15.7||3
1982|4|1|0.0|9.0|25.6|17.3|16.6||3
1982|5|1|13.6|15.5|20.7|18.1|5.2||3
1982|6|1|0.0|8.6|22.3|15.45|13.7||4
1982|7|1|6.6|7.2|14.7|10.95|7.5||4
1982|8|1|0.0|10.2|20.1|15.15|9.9||4
1982|9|1|3.0|7.5|18.2|12.85|10.7||1
1982|10|1|0.0|12.9|24.6|18.75|11.7||1
1982|11|1|0.0|16.5|23.1|19.8|6.6||1
1982|12|1|0.0|14.4|28.8|21.6|14.4||2
1983|1|1|0.0|12.2|30.5|21.35|18.3||2
1983|2|1|0.0|10.7|25.8|18.25|15.1||2
1983|4|1|3.4|18.6|25.8|22.2|7.2||3
1983|6|1|1.2|15.8|21.4|18.6|5.6||4
1983|7|1|4.6|11.7|19.3|15.5|7.6||4
1983|8|1|0.8|11.3|18.4|14.85|7.1||4
1983|9|1|18.6|14.2|17.8|16.0|3.6||1
1983|10|1|0.0|10.3|22.7|16.5|12.4||1
1983|11|1|0.0|10.1|31.9|21.0|21.8||1
1983|12|1|0.0|14.7|22.7|18.7|8.0||2
1984|1|1|0.0|17.7|25.9|21.8|8.2||2
